Title,Authors,Abstract,Publication Year,Venue,Publisher,Volume,Issue,Pages,DOI,Eprint,Citations,URL,Cited By
A decisional framework system for computer network intrusion detection,"['BA Fessi', 'M Hamdi', 'S Benabdallah']","In the architecture presented above, intrusion detection tasks that involve decision are  shared among multiple modules to avoid affecting the QoS within the protected infrastructure.",2007,European Journal of …,,,,,,,30,https://www.sciencedirect.com/science/article/pii/S0377221705006533,"/scholar?cites=4015167991020009952&as_sdt=5,33&sciodt=0,33&hl=en"
Towards the selection of best neural network system for intrusion detection,"['A Iftikhar', 'A Azween', 'SA Abdullah']",neural networks using Multi-criteria Decision Making (MCDM)  evaluation of different intrusion  detection systems. This paper  (2009c) described that data can be obtained by three ways;,2010,International Journal of Physical …,,,,,,,37,https://www.academia.edu/download/29834653/j5.pdf,"/scholar?cites=2578494927432008622&as_sdt=5,33&sciodt=0,33&hl=en"
Naive bayes vs decision trees in intrusion detection systems,"['NB Amor', 'S Benferhat', 'Z Elouedi']",This paper offers an experimental study of the use of naive Bayes in intrusion detection. We   ’99 for intrusion detection [15] which are generally used for benchmarking intrusion detection,2004,… of the 2004 ACM symposium on …,,,,,,,776,https://dl.acm.org/doi/abs/10.1145/967900.967989,"/scholar?cites=17930068857195439925&as_sdt=5,33&sciodt=0,33&hl=en"
A framework for the evaluation of intrusion detection systems,"['AA Cárdenas', 'JS Baras']","We then show how the intrusion detection capability, the  tradeoff curve we call the intrusion  detector operating characteristic ( into two parts: a detector D and a decision maker DM . For",2006,2006 IEEE Symposium on …,,,,,,,151,https://ieeexplore.ieee.org/abstract/document/1624001/,"/scholar?cites=4157710231205504036&as_sdt=5,33&sciodt=0,33&hl=en"
Comparative analysis of intrusion detection systems and machine learning based model analysis through decision tree,"['Z Azam', 'MM Islam', 'MN Huda']","lution of these systems. The new taxonomy of the intrusiondetection discipline is described   We give observations, current patterns in NIDS design and various decision tree techniques",2023,IEEE Access,,,,,,,66,https://ieeexplore.ieee.org/abstract/document/10185955/,"/scholar?cites=852909025079447538&as_sdt=5,33&sciodt=0,33&hl=en"
Fuzzy cognitive maps for decision support in an intelligent intrusion detection system,"['A Siraj', 'SM Bridges', 'RB Vaughn']",direrent ways. We describe a decision engine for an intelligent intrusion detection system  that fuses information from diflerent intrusion detection modules using a causal knowledge,2001,Proceedings Joint 9th IFSA …,,,,,,,171,https://ieeexplore.ieee.org/abstract/document/944405/,"/scholar?cites=4995664633054382166&as_sdt=5,33&sciodt=0,33&hl=en"
A survey of intrusion detection systems in wireless sensor networks,"['I Butun', 'SD Morgera', 'R Sankar']",The authors used two types of classifiers: Decision tree and Support Vector Machine. Updates  of the routing tables are chosen as a trace data in three ways: percentage of the changed,2013,IEEE communications surveys …,,,,,,,1145,https://ieeexplore.ieee.org/abstract/document/6517052/,"/scholar?cites=6065006764054071965&as_sdt=5,33&sciodt=0,33&hl=en"
A Multiple-Criteria Decision Making method as support for critical infrastructure protection and Intrusion Detection System,"['G Bernieri', 'S Damiani', 'F Del Moro']",In [4] the authors assess the risks in electric power SCADA systems using AHP as useful   different Intrusion Detection Systems (IDSs) is presented using the AHP multi-criteria decision,2016,IECON 2016-42nd …,,,,,,,16,https://ieeexplore.ieee.org/abstract/document/7793111/,"/scholar?cites=5336710001519952877&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection system using support vector machine and decision tree,"['SA Mulay', 'PR Devale', 'GV Garje']",the decision tree based algorithm to construct multiclass intrusion detection system.  In  section 4 we will study the decision tree method to implement multiclass SVM. And the section 5,2010,International journal of …,,,,,,,220,https://www.researchgate.net/profile/Goraksh-Garje/publication/44244581_Intrusion_Detection_System_Using_Support_Vector_Machine_and_Decision_Tree/links/0deec52c07a2204c80000000/Intrusion-Detection-System-Using-Support-Vector-Machine-and-Decision-Tree.pdf,"/scholar?cites=1265260916187348952&as_sdt=5,33&sciodt=0,33&hl=en"
SOINN Intrusion Detection Model Based on Three-Way Attribute Reduction,"['J Ren', 'L Liu', 'H Huang', 'J Ma', 'C Zhang', 'L Wang', 'B Liu']","on DBE is set to the evaluation function in the three-way decisions that is g ( c ) = I M P ( c ,   positive decision domain R − if I M P ( c , C , D ) ≥ α ; c is classified into the negative decision",2023,Electronics,,,,,,,1,https://www.mdpi.com/2079-9292/12/24/5023,"/scholar?cites=18326996800878727349&as_sdt=5,33&sciodt=0,33&hl=en"
Using decision trees to improve signature-based intrusion detection,"['C Kruegel', 'T Toth']",Intrusion detection systems (IDSs) are security tools that are used to detect evidence of  malicious activity which is targeted against the network and its resources. IDSs are traditionally,2003,… workshop on recent advances in intrusion detection,,,,,,,418,https://link.springer.com/chapter/10.1007/978-3-540-45248-5_10,"/scholar?cites=8558020812724853324&as_sdt=5,33&sciodt=0,33&hl=en"
A Bayesian paradigm for designing intrusion detection systems,['SL Scott'],for designing network intrusion detection systems based on stochastic models. The phrase  “network intrusion detection” brings to  Another challenge is deciding when to raise an alarm.,2004,Computational statistics & data analysis,,,,,,,140,https://www.sciencedirect.com/science/article/pii/S0167947303001774,"/scholar?cites=3472653371055511805&as_sdt=5,33&sciodt=0,33&hl=en"
Cyber security analysis and evaluation for intrusion detection systems,"['YB Abushark', 'AI Khan', 'F Alsolami']",-based intrusion detection systems under fuzzy conditions using a Multi-Criteria Decision   Fuzzy sets are ideal for dealing with decision-making scenarios in which experts are unsure,2022,Comput. Mater …,,,,,,,25,https://cdn.techscience.cn/ueditor/files/cmc/TSP_CMC-72-1/TSP_CMC_25604/TSP_CMC_25604.pdf,"/scholar?cites=17244774561224811975&as_sdt=5,33&sciodt=0,33&hl=en"
Big data analytics for intrusion detection system: Statistical decision-making using finite dirichlet mixture models,"['N Moustafa', 'G Creech', 'J Slay']",A distributed IDS is a compound system involving several intrusion detection sub-systems  installed at different locations and connected in order to transfer relevant information. In,2017,Data Analytics and Decision Support for …,,,,,,,220,https://link.springer.com/chapter/10.1007/978-3-319-59439-2_5,"/scholar?cites=8073396975558055281&as_sdt=5,33&sciodt=0,33&hl=en"
Evaluation of intrusion detection systems,"['JW Ulvila', 'JE Gaffney Jr']",decision tree can combine and extend the ROC and cost analysis methods to provide an  expected cost metric that reflects the intrusion detection  prior probability of intrusion. We further,2003,Journal of Research of the National …,,,,,,,73,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4844520/,"/scholar?cites=12578642365195587448&as_sdt=5,33&sciodt=0,33&hl=en"
A novel statistical technique for intrusion detection systems,"['E Kabir', 'J Hu', 'H Wang', 'G Zhuo']","intrusion detection system based on sampling with Least Square Support Vector Machine  (LS-SVM). Decision  In addition, intrusion detection systems can also be classified as signature",2018,Future Generation Computer Systems,,,,,,,251,https://www.sciencedirect.com/science/article/pii/S0167739X17301371,"/scholar?cites=5515501297622923194&as_sdt=5,33&sciodt=0,33&hl=en"
Intelligent intrusion detection system,"['KC Lee', 'L Mikhailov']","Intrusion detection involves a complex decision-making process, which includes some  uncertainty. Hosmer and Schumacher [IO], [Ill assert that the ultimate goal of the current computer",2004,… IEEE Conference on'Intelligent Systems' …,,,,,,,17,https://ieeexplore.ieee.org/abstract/document/1344800/,"/scholar?cites=18144561347641108908&as_sdt=5,33&sciodt=0,33&hl=en"
FACID: A trust-based collaborative decision framework for intrusion detection networks,"['CJ Fung', 'Q Zhu']","the diagnosis from different IDSs to perform intrusion detection is the key challenge. This  paper proposes a system architecture of a collaborative intrusion detection network (CIDN), in",2016,Ad Hoc Networks,,,,,,,60,https://www.sciencedirect.com/science/article/pii/S1570870516302062,"/scholar?cites=8346075815939073662&as_sdt=5,33&sciodt=0,33&hl=en"
Modeling intrusion detection system using hybrid intelligent systems,"['S Peddabachigari', 'A Abraham', 'C Grosan']","In this paper, we investigate and evaluate the performance of decision trees (DT), SVM,  hybrid DT–SVM and an ensemble approach. The motivation for using the hybrid approach is to",2007,Journal of network and …,,,,,,,651,https://www.sciencedirect.com/science/article/pii/S1084804505000445,"/scholar?cites=17941984668179696291&as_sdt=5,33&sciodt=0,33&hl=en"
Effective intrusion detection using multiple sensors in wireless ad hoc networks,"['O Kachirski', 'R Guha']","intrusions and try to inhibit intrusion attempts. In contrast to many intrusion detection systems   Here, we have only 3 hosts dedicated to packet monitoring and decision-making process,",2003,36th Annual Hawaii International …,,,,,,,388,https://ieeexplore.ieee.org/abstract/document/1173873/,"/scholar?cites=9875368756038453596&as_sdt=5,33&sciodt=0,33&hl=en"
Optimal configuration of intrusion detection systems,"['B Mishra', 'I Smirnova']",All these models use Bayesian decision analysis as the underlying theory. Our model also  relies on the Bayesian decision theory to generate the quality profile of detection software.,2021,Information Technology and Management,,,,,,,11,https://link.springer.com/article/10.1007/s10799-020-00319-z,"/scholar?cites=17988121792161622981&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection in sensor networks: A non-cooperative game approach,"['A Agah', 'SK Das', 'K Basu', 'M Asadi']",We apply three different schemes for defense. Our main concern in all three schemes is  finding  In the second scheme we use Markov Decision Process to predict the most vulnerable,2004,Third IEEE International …,,,,,,,269,https://ieeexplore.ieee.org/abstract/document/1347798/,"/scholar?cites=7441004005456884471&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection systems using decision trees and support vector machines,"['S Peddabachigari', 'A Abraham']",In this paper we compare decision tress with  systems as systems for Intrusion Detection.  Our specific objectives are to investigate and test: 1. the decision tree as an intrusion detection,2004,International Journal of …,,,,,,,116,https://www.academia.edu/download/30701138/10.1.1.60.4079.pdf,"/scholar?cites=14289978968253289938&as_sdt=5,33&sciodt=0,33&hl=en"
"A decision-theoritic, semi-supervised model for intrusion detection",['T Lane'],"In this chapter, we develop a model of intrusion detection ( to fuse misuse detection with  anomaly detection and to exploit  three desiderata for adaptive intrusion detection systems (IDS",2006,Machine learning and data mining for computer …,,,,,,,48,https://link.springer.com/content/pdf/10.1007/1-84628-253-5_10.pdf,"/scholar?cites=1373074002061119056&as_sdt=5,33&sciodt=0,33&hl=en"
Three-level hybrid intrusion detection system,"['H Lu', 'J Xu']",The other type of hybrid detection systems used different machine  the intrusion detection  by using kernel miner. Peddabachigari etal [10] applied support vector machines and decision,2009,… on Information Engineering and Computer Science,,,,,,,19,https://ieeexplore.ieee.org/abstract/document/5366474/,"/scholar?cites=18078590895189367771&as_sdt=5,33&sciodt=0,33&hl=en"
Decision making for network health assessment in an intelligent intrusion detection system architecture,"['A Siraj', 'RB Vaughn', 'SM Bridges']",workings of a Decision Engine for our Intelligent Intrusion Detection System that utilizes   decided to use cognitive modeling with FCMs because FCMs are interesting yet simple decision,2004,… Technology & Decision Making,,,,,,,20,https://www.worldscientific.com/doi/abs/10.1142/S0219622004001057,"/scholar?cites=14878154248741051476&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection systems: technology and development,"['Y Bai', 'H Kobayashi']","This is one common classification of intrusion detection systems. For HIDS, their decisions  on  The classification relies on the way data is collected by the intrusion detection system, not",2003,17th International Conference on …,,,,,,,165,https://ieeexplore.ieee.org/abstract/document/1192972/,"/scholar?cites=12372228521544721391&as_sdt=5,33&sciodt=0,33&hl=en"
Optimal thresholds for intrusion detection systems,"['A Laszka', 'W Abbas', 'SS Sastry', 'Y Vorobeychik']","on real-world intrusion detection data. In Section 5, we discuss related work on intrusion  detection  A game theoretic approach to decision and analysis in network intrusion detection. In",2016,Proceedings of the …,,,,,,,43,https://dl.acm.org/doi/abs/10.1145/2898375.2898399,"/scholar?cites=17796699498230489043&as_sdt=5,33&sciodt=0,33&hl=en"
A three-tiered intrusion detection system for industrial control systems,"['E Anthi', 'L Williams', 'P Burnap']","This article presents three-tiered intrusion detection systems, which uses a supervised  approach to detect cyber-attacks in industrial control systems networks. The proposed approach",2021,Journal of Cybersecurity,,,,,,,28,https://academic.oup.com/cybersecurity/article-abstract/7/1/tyab006/6153960,"/scholar?cites=8127141835946650315&as_sdt=5,33&sciodt=0,33&hl=en"
An intelligent intrusion detection system (IDS) for anomaly and misuse detection in computer networks,"['O Depren', 'M Topallar', 'E Anarim', 'MK Ciliz']","Intrusion Detection System (IDS) architecture utilizing both anomaly and misuse detection   In this work, a type of a decision tree algorithm is used as a misuse detection module. The",2005,Expert systems with …,,,,,,,757,https://www.sciencedirect.com/science/article/pii/S0957417405000989,"/scholar?cites=13068657489964649002&as_sdt=5,33&sciodt=0,33&hl=en"
A decision support system for placement of intrusion detection and prevention devices in large-scale networks,"['R Puzis', 'M Tubi', 'Y Elovici', 'C Glezer']",innovative Decision Support System (DSS) for Placement of Intrusion Detection and Prevention  Systems ( of intrusion detection and prevention systems in NSP and enterprise networks.,2011,ACM Transactions on …,,,,,,,23,https://dl.acm.org/doi/abs/10.1145/2043635.2043640,"/scholar?cites=6310093429897954968&as_sdt=5,33&sciodt=0,33&hl=en"
Feature Selection based on Multicriteria Decision Making for Intrusion Detection System,"['V Upendran', 'R Gopinath']",Intrusion detection systems (IDS) have to procedure heaps of  time and hence reducing  intrusion detection time. This paper  the computation time and intrusion detection time. The,2020,International Journal of Electrical …,,,,,,,33,https://www.researchgate.net/profile/Dr-Gopinath-R/publication/357299775_Feature_Selection_Based_on_Multi-Criteria_Decision_Making_for_Intrusion_Detection_System/links/61c53d0cda5d105e55f234a6/Feature-Selection-Based-on-Multi-Criteria-Decision-Making-for-Intrusion-Detection-System.pdf,"/scholar?cites=1982819096435281348&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection systems,"['RG Bace', 'P Mell']","part of intrusion detection systems that actually organizes and makes sense of the events  derived from the information sources, deciding when those events indicate that intrusions are",2001,,,,,,,,682,http://all.net/books/standards/NIST-CSRC/csrc.nist.gov/publications/nistpubs/800-31/sp800-31.pdf,"/scholar?cites=1517174253611131252&as_sdt=5,33&sciodt=0,33&hl=en"
Interactive three-dimensional visualization of network intrusion detection data for machine learning,"['W Zong', 'YW Chow', 'W Susilo']","In addition, since the visualization approach in this work is a general approach that can  be used for visualizing different datasets and ML decision space results, it can be used in",2020,Future Generation Computer Systems,,,,,,,78,https://www.sciencedirect.com/science/article/pii/S0167739X18331091,"/scholar?cites=325243521288458660&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection using decision tree model in high-speed environment,"['MM Rathore', 'F Saeed', 'A Rehman']",Existing machine learning- based Intrusion Detection Systems (IDSs) are not able to  a  real-time intrusion detection system for the high-speed environment using decision tree-based,2018,… Conference on Soft …,,,,,,,16,https://ieeexplore.ieee.org/abstract/document/8573631/,"/scholar?cites=10337118357284727544&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection systems and multisensor data fusion,['T Bass'],"Multisensor datafusion technology is an important avenue on the road toward the development  of highly reliable intrusion detection and security-decision systems that identify, track,",2000,Communications of the ACM,,,,,,,1134,https://dl.acm.org/doi/abs/10.1145/332051.332079,"/scholar?cites=53175313269782579&as_sdt=5,33&sciodt=0,33&hl=en"
Artificial intelligence and intrusion detection: Current and future directions,['J Frank'],er is a Decision Tree BuCa] WeKu]. Decision trees are constructed by nding ways to separate   Decision tree algorithms are designed to nd the best questions to ask so that most or all of,1994,Proceedings of the 17th national computer security …,,,,,,,369,https://www.engineering.iastate.edu/~guan/course/backup-0982/CprE-536-Fall-2004/paperreadinglist/intrusion/ai-id.pdf,"/scholar?cites=4681719447441100889&as_sdt=5,33&sciodt=0,33&hl=en"
An approach for optimizing ensemble intrusion detection systems,"['D Stiawan', 'A Heryanto', 'A Bardadi', 'DP Rini']",Intrusion Detection System is yet an interesting research topic. With a very large amount of   is the key to improve the performance of intrusion detection system. This study aims to find the,2020,Ieee …,,,,,,,38,https://ieeexplore.ieee.org/abstract/document/9303385/,"/scholar?cites=11372812536113307624&as_sdt=5,33&sciodt=0,33&hl=en"
Three-branch random forest intrusion detection model,"['C Zhang', 'W Wang', 'L Liu', 'J Ren', 'L Wang']","Therefore, this paper proposes three decision intrusion detection methods considering the   decision boundary entropy to improve the performance of intrusion detection systems further.",2022,Mathematics,,,,,,,15,https://www.mdpi.com/2227-7390/10/23/4460,"/scholar?cites=6055829680117762852&as_sdt=5,33&sciodt=0,33&hl=en"
Network intrusion detection,"['B Mukherjee', 'LT Heberlein', 'KN Levitt']",The database is accessed in three ways: on-line access by TRW customers who query   tem will make attack decisions based on information contained in the rule-base regarding,1994,IEEE network,,,,,,,1748,https://ieeexplore.ieee.org/abstract/document/283931/,"/scholar?cites=3823772277110371675&as_sdt=5,33&sciodt=0,33&hl=en"
Real time intrusion detection system for ultra-high-speed big data environments,"['MM Rathore', 'A Ahmad', 'A Paul']","The efficiency comparison is made based on the time consumed on building a classification  model for intrusion detection as well as on decision-making ie, classification itself for",2016,The Journal of Supercomputing,,,,,,,141,https://link.springer.com/article/10.1007/S11227-015-1615-5,"/scholar?cites=17846554487607996748&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection in MANET using classification algorithms: The effects of cost and model selection,"['A Mitrokotsa', 'C Dimitrakakis']","intrusion detection for MANETs. In order to do so we evaluate five supervised classification  algorithms for intrusion detection  the decision with the lowest expected cost. For example, in",2013,Ad hoc networks,,,,,,,132,https://www.sciencedirect.com/science/article/pii/S1570870512001011,"/scholar?cites=8197888115510472403&as_sdt=5,33&sciodt=0,33&hl=en"
An efficient algorithm for network intrusion detection system,"['V Jaiganesh', 'S Mangayarkarasi', 'P Sumathi']",Intrusion Detection System is a software or hardware device  Today researchers have  interested on intrusion detection  with the help of optimized decision tree from available set of data,2014,International Journal of …,,,,,,,18,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d911fee51ffb84999d14321a8fa946faa002d858,"/scholar?cites=15303303979544889556&as_sdt=5,33&sciodt=0,33&hl=en"
NetSTAT: A network-based intrusion detection system,"['G Vigna', 'RA Kemmerer']","For this reason, intrusion detection systems are now shifting their focus from the hosts and  their operating systems to the network itself. Network-based intrusion detection is challenging",1999,Journal of computer security,,,,,,,469,https://content.iospress.com/articles/journal-of-computer-security/jcs116,"/scholar?cites=5760983976156742047&as_sdt=5,33&sciodt=0,33&hl=en"
A New Intrusion Detection Algorithm AE-3WD for Industrial Control Network.,"['Y Li', 'C Li', 'Y Li', 'S Zhang']","-making system, it is also a typical three way decisionmaking  -way decisions proposed in  this paper can be divided into two parts, namely feature extraction part and intrusion detection",2022,Journal of New Media,,,,,,,0,https://cdn.techscience.cn/files/jnm/TSP_JNM-4-4/TSP_JNM_34778/TSP_JNM_34778.pdf,
Intrusion detection in wireless ad hoc networks,"['A Mishra', 'K Nadkarni', 'A Patcha']",with efficient intrusion detection and response. In this article we present a survey on the  work that has been done in the area of intrusion detection in mobile ad hoc networks.,2004,IEEE wireless …,,,,,,,650,https://ieeexplore.ieee.org/abstract/document/1269717/,"/scholar?cites=5137596483349490052&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection systems in the Internet of things: A comprehensive investigation,"['S Hajiheidari', 'K Wakil', 'M Badri', 'NJ Navimipour']","So, they have decided to put it on the list of six disruptive civil technologies [10], [11]. NIC  tries to insert Internet nodes in everyday things by 2025, including food parcels, furniture, paper",2019,Computer Networks,,,,,,,212,https://www.sciencedirect.com/science/article/pii/S1389128619306267,"/scholar?cites=6409258764690379585&as_sdt=5,33&sciodt=0,33&hl=en"
Decision tree based support vector machine for intrusion detection,"['SA Mulay', 'PR Devale', 'GV Garje']",Intrusion detection is a problem of great significance to protecting information systems security  Since the ability of an IDS to classifY a large variety of intrusions in real time with accurate,2010,… International Conference on …,,,,,,,39,https://ieeexplore.ieee.org/abstract/document/5508557/,"/scholar?cites=335500062814000722&as_sdt=5,33&sciodt=0,33&hl=en"
Decision tree classifier for network intrusion detection with GA-based feature selection,"['G Stein', 'B Chen', 'AS Wu', 'KA Hua']",developed a variety of intrusion detection systems to prevent attacks on computer systems.  There are two main categories of intrusion detection systems: anomaly detection and misuse,2005,… of the 43rd annual Southeast regional …,,,,,,,474,https://dl.acm.org/doi/abs/10.1145/1167253.1167288,"/scholar?cites=10517471112576581226&as_sdt=5,33&sciodt=0,33&hl=en"
An intelligent intrusion detection system,"['N Kaja', 'A Shaout', 'D Ma']","In this paper, we propose a novel two-stage intelligent intrusion detection system (IDS) to  detect and protect from such malicious attacks. Intrusion Detection Systems are feasible",2019,Applied Intelligence,,,,,,,95,https://link.springer.com/article/10.1007/s10489-019-01436-1,"/scholar?cites=10846090077201150720&as_sdt=5,33&sciodt=0,33&hl=en"
Analyzing the impact of cyber security related attributes for intrusion detection systems,"['A Alharbi', 'AH Seh', 'W Alosaimi', 'H Alyami', 'A Agrawal']","idealness assessment of intrusion detection systems. Thus,  the ML based intrusion detection  systems by practicing AHP- decision of domain experts and owners of intrusion detection",2021,Sustainability,,,,,,,24,https://www.mdpi.com/2071-1050/13/22/12337,"/scholar?cites=3731741408861298293&as_sdt=5,33&sciodt=0,33&hl=en"
Efficient decision tree for protocol analysis in intrusion detection,"['T Abbes', 'A Bouhoula']","Then we detail the intrusion detection process using the decision tree. Finally, we  We only  schematise some detection rules that we will use in Section 4.2 to construct a decision tree.",2010,International Journal of …,,,,,,,45,https://www.inderscienceonline.com/doi/abs/10.1504/IJSN.2010.037661,"/scholar?cites=2035278190577398178&as_sdt=5,33&sciodt=0,33&hl=en"
Data mining approaches for intrusion detection,"['W Lee', 'S Stolfo']","time detection, we propose an agent-based architecture for intrusion detection systems where   continuously compute and provide the updated (detection) models to the detection agents.",1998,,,,,,,,2186,https://www.usenix.org/legacy/publications/library/proceedings/sec98/full_papers/lee/lee.pdf,"/scholar?cites=12059049566850512530&as_sdt=5,33&sciodt=0,33&hl=en"
A survey of intrusion detection systems based on ensemble and hybrid classifiers,"['AA Aburomman', 'MBI Reaz']","decision  another way, if there is an ensemble of classifiers working with a data set taken  from an unknown-but-fixed distribution, can we define a correspondence between the decisions",2017,Computers & security,,,,,,,282,https://www.sciencedirect.com/science/article/pii/S0167404816301572,"/scholar?cites=10749265947580209520&as_sdt=5,33&sciodt=0,33&hl=en"
On the combination of genetic fuzzy systems and pairwise learning for improving detection rates on intrusion detection systems,"['S Elhag', 'A Fernández', 'A Bawakid', 'S Alshomrani']","of a complete experimental study, in which we contrast the quality of our results versus the  state-of-the-art of Genetic Fuzzy Systems for intrusion detection and the C4.5 decision tree.",2015,Expert Systems with …,,,,,,,275,https://www.sciencedirect.com/science/article/pii/S0957417414004783,"/scholar?cites=5399943164823723217&as_sdt=5,33&sciodt=0,33&hl=en"
